# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# sources: utilities/printf.html and basedefs/V1_chap05.html from pinned susv4-2018.tgz
# snapshot-count: 67
# required-count: 53
# excluded-scope-count: 14
# ordered-source-sha256: 946def388c77a1cf47a11968e1c4a536ce1ce51f1bfed2ddf1630bd44274f280
requirement	title	source_ref	source_sha256	applicability	state	witness	next_action
printf.output.formatted_operands	Formatted operands on standard output	susv4-2018/utilities/printf.html#up:1	23b64e8f33cf121c3d3bcc47e707103ac7e91357e0224403535457a5648512c0	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.options.none	No utility-specific options	susv4-2018/utilities/printf.html#up:2	903ea500e7ccf842c1312b6c2f964e3e98ff146456cecec717e9a0e122bf735f	none	excluded	scope:none	-
printf.operand.format	Format operand	susv4-2018/utilities/printf.html#ud:0	2522c3c67db5db955ea2f422d2705f1c2bbb999953eb7b6f4af1ad57fddfe6e0	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.operand.argument	Argument operands	susv4-2018/utilities/printf.html#ud:1	82e69864560761c7506c2636da460b7edba3ae3ffaecb24ba3a419bef1684dea	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.stdin.unused	Standard input is not read	susv4-2018/utilities/printf.html#up:4	ebbc304fb6a0235d0c7d8b2c69491f61b0b4d3ee72bd84b998cafc2799ce5b29	required	closed	tests:test/boot/x86_64_shell_test.py#printf.standard_input_not_read	-
printf.input_files.none	No input files	susv4-2018/utilities/printf.html#up:5	903ea500e7ccf842c1312b6c2f964e3e98ff146456cecec717e9a0e122bf735f	none	excluded	scope:none	-
printf.locale.lang	LANG locale default	susv4-2018/utilities/printf.html#ud:2	f781b292a1d46d2c2d94f48363b1cbbbbbabee1469047fd1e1f14766b359e544	required	closed	tests:test/boot/x86_64_shell_test.py#printf.locale_lang_default	-
printf.locale.lc_all	LC_ALL locale override	susv4-2018/utilities/printf.html#ud:3	eeb0042a4e1675e740f4190ba6ad49b58093708e6eac37937be8789ec87085c7	required	closed	tests:test/boot/x86_64_shell_test.py#printf.locale_lc_all_overrides_lc_ctype	-
printf.locale.lc_ctype	LC_CTYPE byte interpretation	susv4-2018/utilities/printf.html#ud:4	07dbad4c86554989fe8a30b9c91afb6c29d1334c3408854ff9b332b6a6c8ba28	required	closed	tests:test/boot/x86_64_shell_test.py#printf.locale_lang_default,test/boot/x86_64_shell_test.py#printf.locale_lc_all_overrides_lc_ctype	-
printf.locale.lc_messages	LC_MESSAGES diagnostics	susv4-2018/utilities/printf.html#ud:5	a0c195a4587b434b30a6b1f54cad5e6aaf7e24252e54c1915ddc2cf1dd9fc7fb	required	closed	tests:test/boot/x86_64_shell_test.py#printf.locale_lc_messages_diagnostic	-
printf.locale.lc_numeric	LC_NUMERIC optional floating output	susv4-2018/utilities/printf.html#ud:6	a99d1b97ea4e1685b5e382ee63225badb849ea508f3cb8ddc9de78b21a530d1d	conditional	excluded	scope:conditional	-
printf.locale.nlspath	NLSPATH XSI message catalogs	susv4-2018/utilities/printf.html#ud:7	d56e0c29d976281ad3b352cfe18eb38630a4778f3139e3cae82b0e6a32c7a20b	optional	excluded	scope:optional	-
printf.async.default	Default asynchronous-event behavior	susv4-2018/utilities/printf.html#up:7	df324cf0dd55811739de9296ba43f61ee6290a63b6d56c4843530429ddee1dc5	required	closed	tests:test/boot/x86_64_shell_test.py#printf.default_signal_action	-
printf.stdout.cross_reference	Standard output uses the format rules	susv4-2018/utilities/printf.html#up:8	fedd1fc432d2c7f03f35a0e0c92aef98b7524e222e8c81a14ca4a8b33df418ca	none	excluded	scope:none	-
printf.stderr.diagnostics_only	Standard error contains diagnostics only	susv4-2018/utilities/printf.html#up:9	fee2ab7d8ad78caea6810d862fc70ecc016bf4d8f835d906fbe70b39fa4bf666	required	closed	tests:test/boot/x86_64_shell_test.py#printf.numeric_conversion_diagnostic_continues	-
printf.output_files.none	No output files other than standard output	susv4-2018/utilities/printf.html#up:10	903ea500e7ccf842c1312b6c2f964e3e98ff146456cecec717e9a0e122bf735f	none	excluded	scope:none	-
printf.format.literal_space	Literal space is copied	susv4-2018/utilities/printf.html#up:12	806d23f8490f24ba7bd5af2522b6f3a0f4fd92d59fc4606dec61e580015b1007	required	closed	tests:test/boot/x86_64_shell_test.py#printf.c_integer_constant_extensions	-
printf.format.delta_literal	File-format delta character outside admitted codeset	susv4-2018/utilities/printf.html#up:13	1add74ab9e88899492ec311a3a9f8655c267e0d056af31c8fa945434d0634f6d	conditional	excluded	scope:conditional	-
printf.format.octal_escape	One-to-three-digit format octal escape	susv4-2018/utilities/printf.html#up:14	92a339a179543a6d88ae7b3e97f1a2e7f0c46f201320b9b7e4eb0db8b9d2d9c6	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.integer.no_implicit_decimal_blanks	No implicit blanks for d and u	susv4-2018/utilities/printf.html#up:15	747575cf13c14e23b84ab7ccd589c8c140b01a26add6fa70aa698da23e9cd165	required	closed	tests:test/boot/x86_64_shell_test.py#printf.bare_numeric_has_no_implicit_padding	-
printf.integer.no_implicit_octal_zeros	No implicit leading zeros for o	susv4-2018/utilities/printf.html#up:16	77b6e5dba75b070d36f173634bf1c0dae1bf995961f2743cb6297319c701f0b9	required	closed	tests:test/boot/x86_64_shell_test.py#printf.bare_numeric_has_no_implicit_padding	-
printf.floating.optional	Floating conversion set	susv4-2018/utilities/printf.html#up:17	092cdf2d5a15e6d956aa40fc5bc34b007ea787a89d7fb6e3ffdadcfc1f9e7759	optional	excluded	scope:optional	-
printf.percent_b.argument	Percent-b string argument	susv4-2018/utilities/printf.html#up:18	773ad75a5d139f2a8fd636ef50ca8491c5453eccaa04804d9de249c855a7ab02	required	closed	tests:test/boot/x86_64_shell_test.py#printf.percent_b_binary_bytes	-
printf.percent_b.simple_escapes	Percent-b simple escapes	susv4-2018/utilities/printf.html#up:19	11b5cdd1f6eb897f56e149c7b9ceb4374e996be288367baddfaa02be77dc0ed8	required	closed	tests:test/boot/x86_64_shell_test.py#printf.percent_b_binary_bytes	-
printf.percent_b.octal_escape	Percent-b zero-prefixed octal escape	susv4-2018/utilities/printf.html#up:20	fa8cb960e1095df9cf7129f24dfade6d697a82a87c5af6359603e60b73eac33c	required	closed	tests:test/boot/x86_64_shell_test.py#printf.percent_b_binary_bytes	-
printf.percent_b.stop_escape	Percent-b stop escape	susv4-2018/utilities/printf.html#up:21	a15ec87ca4dc0d29d130d3718cf260a2b50ab464c7fa24eabcb768abd69eb56a	required	closed	tests:test/boot/x86_64_shell_test.py#printf.percent_b_c_stops_utility_output	-
printf.percent_b.unknown_escape	Unknown percent-b escape interpretation	susv4-2018/utilities/printf.html#up:22	51d3932627b6ecc6a9b189fd9d36af5bfbf9717057a99a3a4bf9716db5c2e3ca	unspecified	excluded	scope:unspecified	-
printf.percent_b.precision	Percent-b byte precision	susv4-2018/utilities/printf.html#up:23	f0e828582b45a9b4b74bf0406a8ff45429e1e5bf1541efce3b0cd7de52b19af7	required	closed	tests:test/boot/x86_64_shell_test.py#printf.percent_b_precision_and_width	-
printf.arguments.sequential_consumption	Sequential argument consumption	susv4-2018/utilities/printf.html#up:24	72564df39dbfba933106a4babbe39c32fc9e985ba4dbc6d6d8c7cad7a980e6bc	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.format.reuse_and_defaults	Format reuse and missing-operand defaults	susv4-2018/utilities/printf.html#up:25	a505e39a26d3f25271e4d838146b0b8a912e8d3a88ff99e8a595ed9a4e55da74	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_reuse_partial_final_cycle,test/boot/x86_64_shell_test.py#printf.missing_operands_use_specified_defaults	-
printf.format.no_conversion_with_arguments	Arguments with no consuming conversion	susv4-2018/utilities/printf.html#up:25	a505e39a26d3f25271e4d838146b0b8a912e8d3a88ff99e8a595ed9a4e55da74	unspecified	excluded	scope:unspecified	-
printf.format.invalid_conversion	Invalid conversion specification	susv4-2018/utilities/printf.html#up:26	9ca6047a00e65fa9d2b04dfb4f3acffbf6762abda030438a56fa749f65c2b046	unspecified	excluded	scope:unspecified	-
printf.character.first_byte	Percent-c first-byte conversion	susv4-2018/utilities/printf.html#up:27	a25733899b2cb7688cd1823cb22d6e05874cf5cbca44b1ee92384bd72ced9fe6	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.character.empty_argument	Percent-c empty argument	susv4-2018/utilities/printf.html#up:27	a25733899b2cb7688cd1823cb22d6e05874cf5cbca44b1ee92384bd72ced9fe6	unspecified	excluded	scope:unspecified	-
printf.arguments.type_conversion	String and integer argument typing	susv4-2018/utilities/printf.html#up:28	44efcc43238aa2b84c9038a3400fecd920f08e3041277f446a0892533e1ef6b0	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.integer.leading_sign	Leading integer sign	susv4-2018/utilities/printf.html#up:29	2ab1848b257e1a0fb6b3427c1c78afe1cba6aa58a5d886c6081bb3a949b0d40b	required	closed	tests:test/boot/x86_64_shell_test.py#printf.c_integer_constant_extensions	-
printf.integer.quoted_character	Quoted-character integer value	susv4-2018/utilities/printf.html#up:30	16b441bcf5b95cf770edd9f4f89b701c44e5e087fc8cdfc99a762d3d2a561c01	required	closed	tests:test/boot/x86_64_shell_test.py#printf.c_integer_constant_extensions	-
printf.integer.suffix	Suffixed integer constants	susv4-2018/utilities/printf.html#up:31	e53e9411bbabafe091d929967ee1cf32a42c040039d66d9c13e8844d83596799	optional	excluded	scope:optional	-
printf.integer.conversion_error	Numeric conversion diagnostic, status, continuation, and accumulated value	susv4-2018/utilities/printf.html#up:32	3cbad63b5d50b4ce841803f82393c1fc512a75c2d5f26ffe595757270dfda56b	required	closed	tests:test/boot/x86_64_shell_test.py#printf.numeric_conversion_diagnostic_continues,test/boot/x86_64_shell_test.py#printf.integer_overflow_boundaries	-
printf.strings.partial_use	Partial b, c, and s argument use is not an error	susv4-2018/utilities/printf.html#up:33	2130e386b20d88302cd6e6e518cbde76172b97470d1784a7e34553da8d50e3d4	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.exit.success	Zero status on success	susv4-2018/utilities/printf.html#ud:8	cea79f2fef2fef77b302cbaed1f0a4d9ce4f350865fa5c60a89d34079af894f1	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.exit.error	Nonzero status on error	susv4-2018/utilities/printf.html#ud:9	03c232c270f92f1eda981f194766e821939ab4a1b34e726cb35f138441342e52	required	closed	tests:test/boot/x86_64_shell_test.py#printf.failed_standard_output_status,test/boot/x86_64_shell_test.py#printf.missing_format_diagnostic	-
printf.errors.default	Default environmental consequences of errors	susv4-2018/utilities/printf.html#up:35	df324cf0dd55811739de9296ba43f61ee6290a63b6d56c4843530429ddee1dc5	unspecified	excluded	scope:unspecified	-
printf.xbd.literal_character	Ordinary format characters are copied	susv4-2018/basedefs/V1_chap05.html#bp:3	0915141957dbfd378c16deef6273f86bf151d78de1b16871e799661bc5ec9e97	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.xbd.escape.backslash	Format backslash escape	susv4-2018/basedefs/V1_chap05.html#be:0	15116884aed2a9ea8bf325e1b7b957769c951b0b1f5c0c27dd8459e721774dc1	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.alert	Format alert escape	susv4-2018/basedefs/V1_chap05.html#be:1	c30a55482aac403051257061b5c797fa5243ef75ffe3451c8fdd64a477eefa40	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.backspace	Format backspace escape	susv4-2018/basedefs/V1_chap05.html#be:2	65972fe8708e41187d9f53895df67f45febc8e91ee0008752e1752a8e6a274f5	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.form_feed	Format form-feed escape	susv4-2018/basedefs/V1_chap05.html#be:3	3fc3c902eaed6d8d36a0605af758fd346e67eaf2b34d7844ee696ee396832ec4	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.newline	Format newline escape	susv4-2018/basedefs/V1_chap05.html#be:4	1277061d6b1b8ea710129fe3dae4b014d56e75a41ae0b61622fec386a731b282	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.carriage_return	Format carriage-return escape	susv4-2018/basedefs/V1_chap05.html#be:5	fad2e895f4036fff042a88a395b6a1d8a61370b115eead8b62ba227a32b284a7	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.tab	Format tab escape	susv4-2018/basedefs/V1_chap05.html#be:6	14dc5d46f82ea1fe61b18e2535418f87c4a22f40884aaaec9e5e2da103cfcb96	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.escape.vertical_tab	Format vertical-tab escape	susv4-2018/basedefs/V1_chap05.html#be:7	a1463cb72b1ae6b8ae697f4ddff67ea1d0e07cdf7770ad7f3dca1fa58de40cb2	required	closed	tests:test/boot/x86_64_shell_test.py#printf.format_escape_binary_bytes	-
printf.xbd.conversion_sequence	Percent conversion component sequence	susv4-2018/basedefs/V1_chap05.html#bp:38	8f8aa40e08550007bd49de68d2cea89ec9afdff1cf16b9b08c2186629ec58a18	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.flags.sequence	Zero or more flags in any order	susv4-2018/basedefs/V1_chap05.html#bd:2	bf2c24b5e4346550c8f5ce359f9335d7391d41d42206f44b46f9ac3bb995061d	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.field_width	Minimum field width and padding side	susv4-2018/basedefs/V1_chap05.html#bd:3	29f5287a72239e9168a5886da7d441d5c31cc714833c7a839d797b07e81e64e6	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.precision	Integer and string precision	susv4-2018/basedefs/V1_chap05.html#bd:4	00b5c22ce4372feb6292c9f194fa00d1974c06af42b920e076784a75ddbf3e97	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.conversion_character	Conversion specifier character	susv4-2018/basedefs/V1_chap05.html#bd:5	cc2b70ac040e83634c7297dcfc29530abe1cb2749796f6525b5303866681612b	required	closed	tests:test/boot/x86_64_shell_test.py#printf.mandatory_conversion_set	-
printf.xbd.flag.left_adjust	Left-adjust flag	susv4-2018/basedefs/V1_chap05.html#bd:6	9123651d8d6f95ad75d4575d4d79b9367766436735983586dac40793ec4a3a2e	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.flag.always_sign	Always-sign flag	susv4-2018/basedefs/V1_chap05.html#bd:7	492a5501ea627eb60f22f29d7224d98daa596d9739f6e9adc889543dd04e6df8	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.flag.leading_space	Leading-space flag and plus precedence	susv4-2018/basedefs/V1_chap05.html#bd:8	66379ac0f3b915e5ba1f59f5a57636f3195219171422f9460c0c5c41cb5e2766	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
printf.xbd.flag.alternative_form	Alternative-form flag	susv4-2018/basedefs/V1_chap05.html#bd:9	2ac8f2bdf878a0355504a759fcdf2119187e9b2f0b1590835d58e6b4096afb6b	required	closed	tests:test/boot/x86_64_shell_test.py#printf.flags_width_and_precision	-
