# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source-archive: susv4-2018.tgz, sha256 ab6636bca53c7d71d33d2c5149ede574d598fe6ec97fa8b08e0459ef7bcfc104
# derivation: 160 utilities/*.html pages plus 15 special built-ins in utilities/V3_chap02.html
# snapshot-count: 175
# key-sha256: e1c7db29258b2e7e869d9183306e2462261a87d598750d457722824f7b655e7d
# state invariant: every utility is exactly one of open or closed
utility	state	witness	next_action
admin	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
alias	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ar	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
asa	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
at	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
awk	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
basename	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
batch	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
bc	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
bg	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
break	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
c99	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cal	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cat	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cd	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cflow	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
chgrp	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
