# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source-archive: susv4-2018.tgz, sha256 ab6636bca53c7d71d33d2c5149ede574d598fe6ec97fa8b08e0459ef7bcfc104
# volume: base-definitions
# parent-denominator: 95
# clause-denominator: 1483 HTML h2-h5 source headings with tag anchors
# clause-key-sha256: e357d95bf96ea94101041ab8db05156d0c107addc2318409cdd4fa83f637e575
# clause-row-sha256: 42fbbd0f2c879de5501f33c5d938d5d8bae7788edbc88176b200839c654db458
# state invariant: every clause is exactly one of open or closed
# non-ASCII source titles use ASCII backslash escapes; source bytes remain hash-bound
parent	clause	title	source_sha256	state	witness	next_action
basedefs/V1_chap01.html	tag_01	Introduction	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_01	Scope	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_02	Conformance	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_03	Normative References	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_04	Change History	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05	Terminology	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_01	can	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_02	implementation-defined	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_03	legacy	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_04	may	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_05	shall	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_06	should	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_07	undefined	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_05_08	unspecified	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_06	Definitions and Concepts	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07	Portability	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_01	Codes	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_02	Margin Code Notation	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_02_01	A Feature Dependent on One or Two Options	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_02_02	A Feature Dependent on Either of the Options Denoted	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_02_03	A Feature Dependent on More than Two Options	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_02_04	Large Sections Dependent on an Option	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
basedefs/V1_chap01.html	tag_01_07_03	Footnotes	065789325a43de8932526a00ede61e32066f4174f4c8a597ca6fa6532ccbb576	open	missing:q35_ring3_base_definitions_clause_witness	Add an exact Q35 Ring 3 witness for this clause and close its parent only after all clauses close.
