# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html
# derivation: the first 31 open parent anchors in canonical shell-language ledger order
# snapshot-count: 31
# ordered-parent-sha256: c8231c3007a620a0c81690dd62a87c0cefd76a2b9b8049e7100e972a82051cb4
# state invariant: every frontier parent remains open until every recursive requirement closes
parent	title	source_member	source_sha256	requirement_count	requirement_sha256	q35_case	state	witness	next_action
tag_18_01	Shell Introduction	susv4-2018/utilities/V3_chap02.html#tag_18_01	6f2c8974eb957fb7ef889adedda918f10b03757fb305efd2e477b9caa799d92e	9	c5edb8cea9564fec58d82a17613f415444e5a6f1e37a39308ae418b8227e45ed	tag_18_01.frontier_q35	open	missing:tag_18_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_02	Quoting	susv4-2018/utilities/V3_chap02.html#tag_18_02	578393d71cf4f60215360a8e0717f0e81ed959b2a5e280a70da75238e1371e56	14	c056a73ff88fb41af0e43ea5ad5a4bf690bc47a84b1b04baa21f2c91a2d036a4	tag_18_02.frontier_q35	open	missing:tag_18_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_04	Reserved Words	susv4-2018/utilities/V3_chap02.html#tag_18_04	c3461b4b01905b2c818dda1f2d6fa63046ddde3fc92af808e8443b31333624d4	17	bed915085088b78fd5dffbc2c3e961e350cc90a5ccec56d8e99b5420466ab348	tag_18_04.frontier_q35	open	missing:tag_18_04_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_05	Parameters and Variables	susv4-2018/utilities/V3_chap02.html#tag_18_05	77aa260682d91f9a846e037c1c11b083cc76fd8b01e40880870e2197af9fb11d	55	7dd9f2eb6732cce06c1888f3be307192ca6ef8af69ece191c8dde3994f0e1d6e	tag_18_05.frontier_q35	open	missing:tag_18_05_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_05_01	Positional Parameters	susv4-2018/utilities/V3_chap02.html#tag_18_05_01	4a7508bdf7c1ae80ec900c204829fc8273aa09fda12a8fe9303440438ea222f2	1	4f41d7464d5650a7419c39ce507550acd6d3a5fd89d58a61c02da1d4f50092ab	tag_18_05_01.frontier_q35	open	missing:tag_18_05_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_05_02	Special Parameters	susv4-2018/utilities/V3_chap02.html#tag_18_05_02	093a1a75e78903af84afcbf5f6fa4569764ac328574bc1408008d8339e9bdac7	18	a677a954bb559ec17e7c9fdf34ea57d721fca4e41828cda208c2b956a2afd9d5	tag_18_05_02.frontier_q35	open	missing:tag_18_05_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_05_03	Shell Variables	susv4-2018/utilities/V3_chap02.html#tag_18_05_03	d8665cf5a1fc7dffaa4b5464433e95bd49d9ed76df8dfdee528a877180dde305	34	68bdc14fcad0fd4a00fc838fb1bd97cd585d5a359517c16e4352d025eeea533a	tag_18_05_03.frontier_q35	open	missing:tag_18_05_03_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_06	Word Expansions	susv4-2018/utilities/V3_chap02.html#tag_18_06	431e9a68e35a1efbcb70d232eaa16727607bc1164fb9e8b60abf48433be87041	111	bd40709af1193728a5719a9ce07de4cb49ca7a85b5ac3b2bafa1e83a7f5ff99c	tag_18_06.frontier_q35	open	missing:tag_18_06_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_06_02	Parameter Expansion	susv4-2018/utilities/V3_chap02.html#tag_18_06_02	7f97a5f9bb78fbf45389580eed51f6d8b6d107d637c0c59e027dc1b0b407dc22	66	22552f9b6e78afa8c42d5a44ea7f11ec6f70dd7def89e4c8a0654e18c9d802b2	tag_18_06_02.frontier_q35	open	missing:tag_18_06_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_06_03	Command Substitution	susv4-2018/utilities/V3_chap02.html#tag_18_06_03	5859a7dc8e926baffe43ff4eb3f30872f68375905e1d86bb1a6c721c650656cd	8	17ae76c314e361bb8d2f61ebb8384cbbcec9e6f87ca7404e835a95c2402199cf	tag_18_06_03.frontier_q35	open	missing:tag_18_06_03_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_06_04	Arithmetic Expansion	susv4-2018/utilities/V3_chap02.html#tag_18_06_04	ddf6bd1324a568789fcec5e6d12bb34fda4ca255573cbaee7071efdb0c8cfd7e	10	af4b903950894c3d3d742e3d9e4711918f8a316e7c25b0e7a67321eb318b1d95	tag_18_06_04.frontier_q35	open	missing:tag_18_06_04_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
