# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: source member and assertion hashes are derived from the pinned SUSv4 Issue 7 archive
# derivation: every prose, list, and definition assertion in each selected source section, excluding Examples sections
# snapshot-count: 2644
# ordered-requirement-sha256: 27a3bac20484cf355b2f0ca9a9228ce0604cd19e252d5a9489cfc44269a05e0d
# q35_case invariant: open rows retain their parent probe; closed rows require an assertion-specific executable case
# state invariant: every recursive requirement is exactly open or closed and every open row has a falsifier
requirement	row	domain	parent	ordinal	assertion	assertion_sha256	implementation_requirement	q35_case	state	witness	next_action	falsifier
shell:tag_18_09_04_05.r001	shell:tag_18_09_04_05	shell	tag_18_09_04_05	1	The conditional construct case shall execute the compound-list corresponding to the first one of several patterns (see Pattern Matching Notation) that is matched by the string resulting from the tilde expansion, parameter expansion, command substitution, arithmetic expansion, and quote removal of the given word. The reserved word in shall denote the beginning of the patterns to be matched. Multiple patterns with the same compound-list shall be delimited by the '|' symbol. The control operator ')' terminates a list of patterns corresponding to a given action. The compound-list for each list of patterns, with the possible exception of the last, shall be terminated with ";;". The case construct terminates with the reserved word esac (case reversed).	f261ed52f230a5ef174c40d0a702e8d1fa40ae4d1fe131a418807d4f5fc52b52	Implement case pattern expansion and matching, fall-through control operators, selected-body execution, and exit status.	shell:tag_18_09_04_05.q35	open	missing:shell:tag_18_09_04_05.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_05.r001.
shell:tag_18_09_04_05.r002	shell:tag_18_09_04_05	shell	tag_18_09_04_05	2	The format for the case construct is as follows:	f03f11357bb70ce4ef9152fc12a4392d85bb06d0228159ab7c09ecef0427e7cb	Implement case pattern expansion and matching, fall-through control operators, selected-body execution, and exit status.	shell:tag_18_09_04_05.q35	open	missing:shell:tag_18_09_04_05.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_05.r002.
shell:tag_18_09_04_05.r003	shell:tag_18_09_04_05	shell	tag_18_09_04_05	3	The ";;" is optional for the last compound-list.	7b4403df83ba3d29089de82fbc181af37d7a012f58e1261c62e2cb2fed8c7487	Implement case pattern expansion and matching, fall-through control operators, selected-body execution, and exit status.	shell:tag_18_09_04_05.q35	open	missing:shell:tag_18_09_04_05.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_05.r003.
shell:tag_18_09_04_05.r004	shell:tag_18_09_04_05	shell	tag_18_09_04_05	4	In order from the beginning to the end of the case statement, each pattern that labels a compound-list shall be subjected to tilde expansion, parameter expansion, command substitution, and arithmetic expansion, and the result of these expansions shall be compared against the expansion of word, according to the rules described in Pattern Matching Notation (which also describes the effect of quoting parts of the pattern). After the first match, no more patterns shall be expanded, and the compound-list shall be executed. The order of expansion and comparison of multiple patterns that label a compound-list statement is unspecified.	de921db3612de895d8f3959be2d32d68f6ac6c75270d77408121b220d19d4f4c	Implement case pattern expansion and matching, fall-through control operators, selected-body execution, and exit status.	shell:tag_18_09_04_05.q35	open	missing:shell:tag_18_09_04_05.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_05.r004.
shell:tag_18_09_04_07.r001	shell:tag_18_09_04_07	shell	tag_18_09_04_07	1	The if command shall execute a compound-list and use its exit status to determine whether to execute another compound-list.	5247b831f6f043aa05a08fe4dfe44feacaee7c3ada98ff6b3dd64648d3b5b654	Implement if and elif condition evaluation, branch selection, nested lists, redirections, and exit status.	shell:tag_18_09_04_07.q35	open	missing:shell:tag_18_09_04_07.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_07.r001.
shell:tag_18_09_04_07.r002	shell:tag_18_09_04_07	shell	tag_18_09_04_07	2	The format for the if construct is as follows:	9d8e75a2680a03881e5e27532d247b4b2ebd60a2577d3e32c15d195f74c9bedf	Implement if and elif condition evaluation, branch selection, nested lists, redirections, and exit status.	shell:tag_18_09_04_07.q35	open	missing:shell:tag_18_09_04_07.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_07.r002.
shell:tag_18_09_04_07.r003	shell:tag_18_09_04_07	shell	tag_18_09_04_07	3	The if compound-list shall be executed; if its exit status is zero, the then compound-list shall be executed and the command shall complete. Otherwise, each elif compound-list shall be executed, in turn, and if its exit status is zero, the then compound-list shall be executed and the command shall complete. Otherwise, the else compound-list shall be executed.	3238ade29e06ffb0c8b1f4d1f5baeab6f71f2a8a90752f6eab45b459cea5dc88	Implement if and elif condition evaluation, branch selection, nested lists, redirections, and exit status.	shell:tag_18_09_04_07.q35	open	missing:shell:tag_18_09_04_07.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_07.r003.
shell:tag_18_09_04_09.r001	shell:tag_18_09_04_09	shell	tag_18_09_04_09	1	The while loop shall continuously execute one compound-list as long as another compound-list has a zero exit status.	fc005ec89a43e92637f53688b08b8ca0a9a0b78878572f07dc26e011bd4bcefa	Implement while-loop condition and body sequencing, break or continue behavior, redirections, and exit status.	shell:tag_18_09_04_09.q35	open	missing:shell:tag_18_09_04_09.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_09.r001.
shell:tag_18_09_04_09.r002	shell:tag_18_09_04_09	shell	tag_18_09_04_09	2	The format of the while loop is as follows:	e6da9c37c186c3a1684d91ee518b73d8ebc5aef27be755350ce3ccea3a8e1eb1	Implement while-loop condition and body sequencing, break or continue behavior, redirections, and exit status.	shell:tag_18_09_04_09.q35	open	missing:shell:tag_18_09_04_09.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_09.r002.
shell:tag_18_09_04_09.r003	shell:tag_18_09_04_09	shell	tag_18_09_04_09	3	The compound-list-1 shall be executed, and if it has a non-zero exit status, the while command shall complete. Otherwise, the compound-list-2 shall be executed, and the process shall repeat.	2eb10372a7b081c26345db36efd85608f9425b1d23c352587341eaf5b4695d1e	Implement while-loop condition and body sequencing, break or continue behavior, redirections, and exit status.	shell:tag_18_09_04_09.q35	open	missing:shell:tag_18_09_04_09.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_09.r003.
