# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html tag_18_03 through tag_18_03_01
# derivation: four token-recognition paragraphs, ten ordered rules, and three alias-substitution paragraphs
# snapshot-count: 17
# ordered-source-sha256: 09e8a0cb31d41033af878004b9096a68cce6bc30ccf8962a27d343c7a90c50c5
requirement	title	source_sha256	state	witness	next_action
tag_18_03.p01_line_input_modes	Line input and parsing modes	c36e4e710cd28a88c65c1e5a9039c1e052b6c28c95c46542c2283b45d4c39e46	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.p01_line_input_modes.dynamic_ordinary_line,test/boot/x86_64_shell_test.py#tag_18_03.p01_line_input_modes.dynamic_here_document_line	-
tag_18_03.p02_here_document_mode	Here-document mode trigger	d4d3f79adde21fb5e624daa4cf2dc7cf9cf7ef95138acc2b7c94718a321dbe86	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.p02_here_document_mode.body_after_next_newline,test/boot/x86_64_shell_test.py#tag_18_03.p02_here_document_mode.multiple_bodies_in_source_order	-
tag_18_03.p03_first_applicable_rule	First-applicable token rule	b25842fa79b9682976a2fb1fa2bde1e1a37ba629aa888f9eca39f458a064b32e	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.operator_continuation_precedes_start,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.operator_delimit_then_restart,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.quoted_specials_precede_later_rules,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.substitution_precedes_delimiters,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.word_continuation_precedes_comment,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.comment_precedes_word_start,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.empty_delimiters_are_skipped,test/boot/x86_64_shell_test.py#tag_18_03.p03_first_applicable_rule.end_of_input_delimits_word	-
tag_18_03.rule01_end_of_input	End of input	abb98c5c7a84b97b4736be9818aff797c6203f8e27ac5e086cbd85e700228eab	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule01_end_of_input.final_word_executes_at_eof	-
tag_18_03.rule02_operator_continuation	Operator continuation	80f52aeddc44ce38cd9b79dd72958029a756cafdb0b456656a5c9693a9f68d09	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.and_if,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.or_if,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.case_terminator,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.here_document,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.append_redirection,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.duplicate_input,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.duplicate_output,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.read_write_redirection,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.tab_stripping_here_document,test/boot/x86_64_shell_test.py#tag_18_03.rule02_operator_continuation.clobber_override	-
tag_18_03.rule03_operator_delimitation	Operator delimitation	590bec0a54720dbb55ea728f1744f9a0a7181448774ffc4d06c1d53a183bcf89	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.ampersand,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.and_if,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.left_parenthesis,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.right_parenthesis,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.semicolon,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.case_terminator,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.newline,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.pipe,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.or_if,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.less,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.greater,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.clobber,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.here_document,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.append,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.duplicate_input,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.duplicate_output,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.tab_stripping_here_document,test/boot/x86_64_shell_test.py#tag_18_03.rule03_operator_delimitation.read_write	-
tag_18_03.rule04_quoted_text	Quoted text	6911cb6c342f394e0ed9f7c84b28dfa8c39a27876e5913f249a1d496583cd515	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule04_quoted_text.backslash_membership,test/boot/x86_64_shell_test.py#tag_18_03.rule04_quoted_text.single_quote_membership,test/boot/x86_64_shell_test.py#tag_18_03.rule04_quoted_text.double_quote_membership,test/boot/x86_64_shell_test.py#tag_18_03.rule04_quoted_text.substitution_is_deferred,test/boot/x86_64_shell_test.py#tag_18_03.rule04_quoted_text.newline_joining_exception	-
tag_18_03.rule05_substitution_recursion	Substitution recursion	a4e8de2a6d35095061f06997727a097622c5b6fd88fe63dadb750b7a4432a722	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.parameter_introducers,test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.dollar_command_substitution,test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.backquote_substitution,test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.arithmetic_with_parameter,test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.parameter_command_arithmetic,test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.nested_command_quotes,test/boot/x86_64_shell_test.py#tag_18_03.rule05_substitution_recursion.physical_alias_boundary	-
tag_18_03.rule06_operator_start	Operator start	088531e1fc961c5b2072f99f18d7a0a5dbdd28ebabd3d6bf54c499cf7da6a4e5	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.ampersand,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.semicolon,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.pipe,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.less,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.greater,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.left_parenthesis,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.right_parenthesis,test/boot/x86_64_shell_test.py#tag_18_03.rule06_operator_start.newline	-
tag_18_03.rule07_blank_delimitation	Blank delimitation	cff491a77b9229c82904c7fda0af56932ce317356f33b8788c587b52c685553c	closed	tests:test/boot/x86_64_shell_test.py#tag_18_03.rule07_blank_delimitation.space_delimits_word,test/boot/x86_64_shell_test.py#tag_18_03.rule07_blank_delimitation.tab_delimits_word,test/boot/x86_64_shell_test.py#tag_18_03.rule07_blank_delimitation.repeated_blanks_without_token,test/boot/x86_64_shell_test.py#tag_18_03.rule07_blank_delimitation.quoted_space_is_data,test/boot/x86_64_shell_test.py#tag_18_03.rule07_blank_delimitation.quoted_tab_is_data	-
